Question,Content,Type
How do Recurrent Neural Networks (RNNs) differ from conventional translation models?,"RNNs are capable of conditioning the model on all previous words in the corpus, unlike conventional models that consider only a finite window of previous words.",Lecture
What are the advantages and disadvantages of RNNs?,Advantages include the ability to process input sequences of any length without increasing model size. Disadvantages include slow computation due to sequential processing and difficulty in accessing information from many steps back.,Lecture
What is the vanishing gradient problem in RNNs and how does it affect training?,"The vanishing gradient problem occurs when the contribution of gradient values gradually diminishes as they propagate to earlier timesteps, making it difficult to capture dependencies for long sequences.",Lecture
What are Gated Recurrent Units (GRUs) and why are they used?,"GRUs are a type of RNN architecture designed to have more persistent memory, making it easier to capture long-term dependencies by using gated mechanisms.",Lecture
What is the key difference between GRUs and LSTMs?,"The key difference lies in their architecture; LSTMs have a more complex design with input, forget, and output gates, allowing for a more nuanced handling of memory and state updates.",Lecture
How do Deep Bidirectional RNNs enhance the capability of standard RNNs?,"Deep Bidirectional RNNs process sequences in both forward and backward directions, allowing the model to incorporate future context into the current state and enhance sequence understanding.",Lecture
What role does perplexity play in evaluating language models?,"Perplexity measures the confusion of a language model, with lower values indicating more confidence in predicting the next word in a sequence, thus serving as a measure of model performance.",Lecture
What is the main advantage of self-attention mechanisms over recurrent neural networks in NLP?,"This note motivates moving away from recurrent architectures in NLP, introduces self-attention, and builds a minimal self-attention-based neural architecture.",Lecture
What are the key components of the Transformer architecture?,"Finally, it dives into the details of the Transformer architecture, a self-attention-based architecture that as of 2023 is ubiquitous in NLP research.",Lecture
Why is layer normalization important in Transformers?,"One important learning aid in Transformers is layer normalization. The intuition of layer norm is to reduce uninformative variation in the activations at a layer, providing a more stable input to the next layer.",Lecture
How does multi-head self-attention enhance the Transformer's performance?,"Intuitively, multi-head self-attention intuitively applies self-attention multiple times at once, each with different key, query, and value transformations of the same input, and then combines the outputs.",Lecture
What role do positional embeddings play in the Transformer model?,"To represent position in self-attention, you either need to (1) use vectors that are already position-dependent as inputs, or (2) change the self-attention operation itself.",Lecture
How do residual connections contribute to the Transformer's architecture?,"Residual connections simply add the input of a layer to the output of that layer, with the intuition being that it is easier to learn the difference of a function from the identity function than it is to learn the function from scratch.",Lecture
What is the purpose of future masking in the Transformer's decoder?,"When performing language modeling like we?????ve seen in this course, we predict a word given all words so far, ensuring we can?????t look at the future when predicting it?????otherwise the problem becomes trivial.",Lecture
How does attention logit scaling improve the Transformer model?,"The intuition of scaling is that, when the dimensionality d of the vectors we?????re dotting grows large, the dot product of even random vectors grows roughly as the square root of d, so we normalize the dot products by the square root of d to stop this scaling.",Lecture
What differentiates the Transformer Encoder from the Decoder?,"A Transformer Encoder takes a single sequence and performs no future masking. It embeds the sequence, adds the position representation, and then applies a stack of independently parameterized Encoder Blocks.",Lecture
Explain the concept of cross-attention in the Transformer Encoder-Decoder architecture.,"Cross-Attention uses one sequence to define the keys and values of self-attention, and another sequence to define the queries, allowing the decoder to focus on relevant parts of the input sequence during the generation of the output sequence.",Lecture
What is instruction finetuning in the context of language models?,"Collect examples of (instruction, output) pairs across many tasks and finetune an LM. Evaluate on unseen tasks.",Lecture
How does reinforcement learning from human feedback (RLHF) improve language models?,"RLHF directly models human preferences to generalize beyond labeled data, optimizing language models to satisfy human preferences by training on comparisons of model outputs.",Lecture
What are the limitations of instruction finetuning?,Collecting demonstrations for many tasks is expensive. There's a mismatch between the language model objective and human preferences.,Lecture
Why are reinforcement learning techniques considered tricky to get right in language models?,Reinforcement learning with language models is very tricky to get right due to the complexity of model behaviors and the challenge of aligning them with human preferences.,Lecture
What is the role of a reward model in reinforcement learning from human feedback?,"A reward model, trained on human comparisons, produces scalar rewards for language model outputs, guiding the optimization of language model parameters towards desired behaviors.",Lecture
What are the potential risks associated with reward hacking in reinforcement learning models?,"Reward hacking is a common problem where models exploit loopholes in the reward function, leading to unintended behaviors that do not align with the true objectives or human values.",Lecture
How can language models become multitask assistants?,"Language models transform into multitask assistants through a combination of techniques like zero-shot and few-shot in-context learning, instruction finetuning, and reinforcement learning from human feedback.",Lecture
What is chain-of-thought prompting and its significance?,"Chain-of-thought prompting guides language models to generate intermediate steps in reasoning, significantly improving performance on complex tasks by emulating human-like problem-solving processes.",Lecture
What future directions are suggested for improving reinforcement learning from human feedback in language models?,"Future directions include alleviating data requirements through AI feedback and self-training on model outputs, aiming to address the limitations of size and hallucinations in large language models.",Lecture
Why is modeling human preferences challenging in the context of language models?,"Human preferences are unreliable and miscalibrated. Models of human preferences, derived from indirect signals like pairwise comparisons, can be even more unreliable and lead to misaligned behaviors.",Lecture
What distinguishes open-domain question answering from reading comprehension?,"Unlike reading comprehension, where a given passage provides the context for answering questions, open-domain question answering does not assume a given passage. Instead, it involves searching a large collection of documents (e.g., Wikipedia) to find the answer, making it a more challenging and practical problem.",Lecture
What is the function of a retriever in the retriever-reader framework for open-domain QA?,"In the retriever-reader framework for open-domain QA, the retriever's function is to search through a large collection of documents and select a subset of passages that are most likely to contain the answer to a given question. This process transforms the open-domain QA challenge into a reading comprehension problem for the reader component.",Lecture
How does the Stanford question answering dataset (SQuAD) evaluate answers?,"SQuAD evaluates answers based on exact match (EM) and F1 score (partial credit), comparing predicted answers to gold standard answers. For development and testing, multiple plausible answers are collected for each question, and the predicted answer is compared to each gold answer, ignoring differences in articles, punctuation, and case.",Lecture
"What led to the surpassing of human performance on SQuAD, and does it imply that reading comprehension is solved?","The surpassing of human performance on SQuAD primarily resulted from the use of large-scale language models like BERT and its variants, which were pre-trained on vast amounts of text and then fine-tuned for reading comprehension. However, this does not imply that reading comprehension is solved, as systems still struggle with adversarial examples and out-of-domain distributions.",Lecture
What advancements did SpanBERT introduce to improve upon BERT for QA tasks?,"SpanBERT introduced two key improvements: masking contiguous spans of words instead of random words for pre-training, and using the two endpoints of a span to predict all masked words within it. These changes aimed at better representing and predicting spans, leading to improved performance on QA tasks.",Lecture
How does dense passage retrieval (DPR) enhance open-domain QA?,"Dense Passage Retrieval (DPR) enhances open-domain QA by using trainable vectors to represent questions and passages. It significantly outperforms traditional information retrieval models by focusing on semantic similarity between the question and passage representations, allowing more accurate retrieval of relevant information.",Lecture
What are the limitations of relying solely on large language models for open-domain QA?,"Relying solely on large language models for open-domain QA has limitations, such as the inability to search external databases like Google Scholar and sometimes generating follow-up suggestions that make no sense. These shortcomings highlight the model's limitations in understanding and integrating external information sources.",Lecture
In what way does the Fusion-in-decoder (FID) model combine dense retrieval with generative models for QA?,The Fusion-in-decoder (FID) model combines dense retrieval with generative models by first using Dense Passage Retrieval (DPR) to select relevant passages and then employing a generative model like T5 to synthesize answers based on the retrieved information. This approach leverages the strengths of both retrieval and generation for effective QA.,Lecture
Why is reading comprehension considered an essential testbed for evaluating natural language understanding by computer systems?,"Reading comprehension is considered an essential testbed for evaluating natural language understanding because it requires a system to comprehend a text passage and answer questions about its content. Successfully answering questions demonstrates the system's ability to process and interpret human language, reflecting a strong understanding.",Lecture
How does the retriever-reader framework approach the challenge of open-domain question answering?,"The retriever-reader framework approaches open-domain question answering by dividing the task into two stages: retrieval and reading comprehension. The retriever selects relevant passages from a large document collection, and the reader model then extracts or generates answers based on these passages, effectively handling the vast search space.",Lecture
What defines multimodality in the context of natural language processing?,"In the context of natural language processing, multimodality refers to combining text with one or more other modes of data, such as images, speech, audio, olfaction, among others, with a primary focus on images as the additional modality.",Lecture
Why is the study of multimodal models considered crucial?,"The study of multimodal models is crucial because human experience is inherently multimodal, many practical applications require processing multiple types of data, and multimodal data can provide richer information that is beneficial for machine learning models, leading to potentially more efficient learning and better utilization of available data.",Lecture
What are some key applications of multimodal models?,"Key applications of multimodal models include retrieval tasks between images and text, image captioning, conditional image synthesis from text, visual question answering, multimodal classification, and enhancing understanding or generation tasks by integrating information from both images and text.",Lecture
What challenges do researchers face when working with multimodal data?,"Challenges in working with multimodal data include the dominance of one modality over others, the potential for additional modalities to introduce noise, the lack of full coverage over all modalities, the readiness of the research community, and the complexity of integrating multiple types of data.",Lecture
How does the CLIP model by OpenAI demonstrate robustness in multimodal learning?,"The CLIP model by OpenAI demonstrates robustness in multimodal learning through its use of Transformers and web data, leading to better generalization and a strong performance across a variety of tasks, showing significant improvements over previous models.",Lecture
"What was the motivation behind creating the Hateful Memes dataset, and what does it aim to test?","The Hateful Memes dataset was motivated by the need for a challenging task that requires true multimodal reasoning and understanding, testing models' ability to integrate and reason about both textual and visual information to identify hateful content.",Lecture
"How does the FLAVA model approach multimodality, and what datasets does it use for pretraining?","The FLAVA model takes a holistic approach to multimodality, spanning vision and language tasks by jointly pretraining on unimodal text data, unimodal image data, and paired image-text data, with all data and models being publicly released.",Lecture
What are the main tasks associated with the COCO dataset in multimodal research?,"In multimodal research, the COCO dataset is mainly associated with image captioning and image-caption retrieval tasks, serving as a foundational dataset for developing and evaluating models that work with both textual and visual information.",Lecture
Why is the Visual Question Answering (VQA) task considered dominant in vision and language research?,"The Visual Question Answering (VQA) task is considered dominant in vision and language research due to its wide citation and application, serving as a crucial benchmark for evaluating models' ability to understand and integrate both visual and textual information to answer questions.",Lecture
What future directions do researchers see for multimodal models and foundation models?,"Future directions for multimodal models and foundation models include the development of modality-agnostic foundation models capable of reading and generating multiple modalities, understanding multimodal scaling laws, exploring retrieval augmented generative multimodal models, and improving evaluation and benchmarking methods for these models.",Lecture
What is the deadline for SEP775 Assignment 1?,"Deadline: Feb. 7, 2024",Homework
Which dataset is used in SEP775 Assignment 4 for the programming-related QA system?,"Provide an overview of the ""flytech/python-codes-25k"" dataset, focusing on its structure and relevance for a QA system.",Homework
What methodology is explored in SEP775 Assignment 3 to improve QA systems?,Explore TANDA (Transfer And Adapt) methodology to improve Question-Answering (QA) systems.,Homework
What is the objective of the text generation task in SEP775 Assignment 2?,Implement a simple RNN for text generation to deepen your understanding of how recurrent neural networks can be used to model sequences and generate text.,Homework
What are the two datasets mentioned for sentence classification in the SEP775 Final Projects document?,You will then perform sentence classification on sst dataset and cfimdb dataset with the BERT model.,Homework
Which optimizer is defined in the SEP775 Final Projects coding exercise?,optimizer.py????? This is where the AdamW optimizer is defined.,Homework
What is the purpose of the BertLayer class in the SEP775 Final Projects coding exercise?,"BertLayer: This corresponds to one transformer layer which has a multi-head attention layer, add-norm layer, a feed-forward layer, and another add-norm layer.",Homework
What architectural enhancement is suggested for the RNN model in SEP775 Assignment 2?,"Use the ""Long Short-Term Memory RNNs (LSTMs)"" section as a reference to enhance your model with LSTM cells to improve its ability to capture long-term dependencies in text.",Homework
"In SEP775 Assignment 3, which datasets are candidates for the domain-specific adaptation step?",Select the ASNQ dataset for the transfer learning step and either WikiQA or TREC-QA for domain-specific adaptation.,Homework
"For SEP775 Assignment 4, where can the LoRA code repository be found?",LoRA code repository: https://github.com/microsoft/LoRA,Homework
What does the Transformer model architecture replace in traditional sequence transduction models?,The Transformer model architecture eschews recurrence and instead relies entirely on an attention mechanism to draw global dependencies between input and output.,Paper
What are the main benefits of the Transformer model mentioned in the paper?,The Transformer model is superior in quality while being more parallelizable and requiring significantly less time to train.,Paper
How does the Transformer model perform on the WMT 2014 English-to-German translation task?,"The Transformer model achieves 28.4 BLEU on the WMT 2014 English-to-German translation task, improving over the existing best results by over 2 BLEU.",Paper
What are the key components of the Transformer's encoder and decoder layers?,"Each layer of the encoder and decoder is composed of two sub-layers: a multi-head self-attention mechanism, and a simple, position-wise fully connected feed-forward network.",Paper
What is the role of positional encodings in the Transformer model?,"Since the model contains no recurrence and no convolution, positional encodings are added to the input embeddings to give the model information about the order of the sequence.",Paper
What does BERT stand for?,Bidirectional Encoder Representations from Transformers.,Paper
What are the two steps in the BERT framework?,Pre-training and fine-tuning.,Paper
What makes BERT different from previous language representation models?,BERT is designed to pre-train deep bidirectional representations by jointly conditioning on both left and right context in all layers.,Paper
"How many natural language processing tasks did BERT advance the state-of-the-art results for, as mentioned in the paper?",Eleven natural language processing tasks.,Paper
What is the 'masked language model' (MLM) pre-training objective in BERT?,"The masked language model randomly masks some of the tokens from the input, and the objective is to predict the original vocabulary id of the masked word based only on its context.",Paper
What is the primary challenge in machine comprehension (MC) as discussed in the paper?,"Machine comprehension (MC), answering a query about a given context paragraph, requires modeling complex interactions between the context and the query.",Paper
What unique approach does the Bi-Directional Attention Flow (BIDAF) network introduce?,"Bi-Directional Attention Flow (BIDAF) network, a multi-stage hierarchical process that represents the context at different levels of granularity and uses bi-directional attention flow mechanism to obtain a query-aware context representation without early summarization.",Paper
On which datasets did the BIDAF model achieve state-of-the-art results?,Our model achieves the state-of-the-art results in Stanford Question Answering Dataset (SQuAD) and CNN/DailyMail cloze test.,Paper
What are the key layers of the BIDAF model?,"Character Embedding Layer, Word Embedding Layer, Contextual Embedding Layer, Attention Flow Layer, Modeling Layer, and Output Layer.",Paper
How does the Attention Flow Layer in BIDAF work?,Attention Flow Layer couples the query and context vectors and produces a set of query-aware feature vectors for each word in the context.,Paper
What does BLEU stand for?,Bilingual Evaluation Understudy.,Paper
What are the two key ingredients required for the BLEU MT evaluation system?,A numerical ?????translation closeness????? metric and a corpus of good quality human reference translations.,Paper
What is the primary programming task for a BLEU implementor?,To compare n-grams of the candidate with the n-grams of the reference translation and count the number of matches.,Paper
How does BLEU calculate its final score?,BLEU takes the geometric mean of the test corpus????? modified precision scores and then multiplies the result by an exponential brevity penalty factor.,Paper
What is the modified n-gram precision's role in BLEU's evaluation?,"Modified n-gram precision captures two aspects of translation: adequacy and fluency. A translation using the same words (1-grams) as in the references tends to satisfy adequacy, while the longer n-gram matches account for fluency.",Paper
What is the main improvement chain-of-thought prompting brings to large language models?,Generating a chain of thought?????a series of intermediate reasoning steps?????significantly improves the ability of large language models to perform complex reasoning.,Paper
How does chain-of-thought prompting affect performance on the GSM8K benchmark?,"Prompting a PaLM 540B with just eight chain-of-thought exemplars achieves state-of-the-art accuracy on the GSM8K benchmark of math word problems, surpassing even finetuned GPT-3 with a verifier.",Paper
What are the two key limitations of rationale-augmented training and traditional few-shot prompting methods addressed by chain-of-thought prompting?,"For rationale-augmented training and finetuning methods, creating a large set of high quality rationales is costly. Traditional few-shot prompting works poorly on tasks that require reasoning abilities and often does not improve substantially with increasing language model scale.",Paper
What datasets were used to evaluate the chain-of-thought prompting method?,"The method was evaluated on a range of arithmetic, commonsense, and symbolic reasoning tasks.",Paper
What unique feature does chain-of-thought prompting add to the exemplars used in few-shot prompting?,"Chain-of-thought prompting augments each exemplar in few-shot prompting with a chain of thought for an associated answer, providing intermediate natural language reasoning steps.",Paper
What is the main purpose of the introduction to contextual word representations?,"This introduction aims to tell the story of how we put words into computers. It is part of the story of the field of natural language processing (NLP), a branch of artificial intelligence.",Paper
What are the two ways words are discussed in this document?,"A word token is a word observed in a piece of text. A word type is a distinct word, in the abstract, rather than a specific instance.",Paper
What method introduced by ELMo improved word vector representations?,"ELMo introduced word token vectors?????i.e., vectors for words in context, or contextual word vectors?????that are pretrained on large corpora.",Paper
What challenge does representing word types independent of context present?,"Representing word types independent of context makes assumptions about language that do not fit with reality, as words have different meanings in different contexts.",Paper
"What are contextual word vectors, and why are they significant?","Contextual word vectors are vectors for words in context, which significantly improves the ability of large language models to perform complex reasoning and understand the specific meaning of words in their particular context.",Paper
"What is the main advantage of using dense representations for passage retrieval in open-domain QA, as opposed to traditional sparse vector space models?","Dense representations can efficiently handle synonyms or paraphrases by mapping them to vectors close to each other, which is a significant advantage over traditional sparse vector space models like TF-IDF or BM25 that rely on exact token matches.",Paper
What is the Dense Passage Retriever (DPR) optimized for?,"The embedding in DPR is optimized for maximizing inner products of the question and relevant passage vectors, comparing all pairs of questions and passages in a batch.",Paper
How does DPR outperform traditional retrieval methods?,"DPR outperforms a strong Lucene-BM25 system greatly by 9%-19% absolute in terms of top-20 passage retrieval accuracy, indicating its superior retrieval capability.",Paper
What are the key components of the training data used for DPR?,"The training data consists of instances containing one question and one relevant (positive) passage, along with a number of irrelevant (negative) passages.",Paper
How does DPR achieve efficient retrieval at run-time?,"At run-time, DPR applies a different encoder that maps the input question to a vector and retrieves the top k passages whose vectors are closest to the question vector, leveraging efficient maximum inner product search (MIPS) algorithms.",Paper
Who are the authors of the paper on Distributed Representations of Words and Phrases and their Compositionality?,"Tomas Mikolov, Ilya Sutskever, Kai Chen, Greg Corrado, Jeffrey Dean",Paper
What model does the paper introduce for learning high-quality vector representations of words?,The paper introduces the continuous Skip-gram model.,Paper
What does the paper claim about the vectors learned through the Skip-gram model?,"The learned vectors explicitly encode many linguistic regularities and patterns, and many of these patterns can be represented as linear translations.",Paper
How does subsampling of frequent words improve the Skip-gram model according to the paper?,Subsampling of frequent words results in significant speedup and improves accuracy of the representations of less frequent words.,Paper
What is an example of vector addition producing meaningful results as mentioned in the paper?,"For example, vec('Russia') + vec('river') is close to vec('Volga River'), and vec('Germany') + vec('capital') is close to vec('Berlin').",Paper
Who are the authors of the paper on Efficient Estimation of Word Representations in Vector Space?,"Tomas Mikolov, Kai Chen, Greg Corrado, Jeffrey Dean",Paper
What is the main goal of the paper?,"The main goal of this paper is to introduce techniques that can be used for learning high-quality word vectors from huge data sets with billions of words, and with millions of words in the vocabulary.",Paper
What novel model architectures does the paper propose for computing continuous vector representations of words?,The paper proposes two novel model architectures for computing continuous vector representations of words from very large data sets.,Paper
How does the paper measure the quality of the word vector representations?,"The quality of the word vector representations is measured in a word similarity task, and the results are compared to the previously best performing techniques based on different types of neural networks.",Paper
What significant improvements do the proposed models offer?,"The proposed models observe large improvements in accuracy at much lower computational cost, i.e. it takes less than a day to learn high quality word vectors from a 1.6 billion words data set.",Paper
Who are the authors of the paper on Evaluation methods for unsupervised word embeddings?,"Tobias Schnabel, Igor Labutov, David Mimno, Thorsten Joachims",Paper
What is the main contribution of the paper regarding evaluation methods for unsupervised word embeddings?,"The paper presents a comprehensive study of evaluation methods for unsupervised embedding techniques, introduces new evaluation techniques that directly compare embeddings with respect to specific queries, and proposes a model- and data-driven approach to constructing query inventories.",Paper
What are the two major categories of evaluation schemes discussed in the paper?,The two major categories are extrinsic and intrinsic evaluation.,Paper
What novel approach does the paper introduce for evaluating word embeddings?,"The novel approach involves phrasing all tasks as choice problems rather than ordinal relevance tasks, allowing for rapid and accurate data-driven relevance judgments through crowdsourcing.",Paper
What significant findings about word embeddings are reported in the paper?,"The paper observes that word embeddings encode a surprising degree of information about word frequency, even in models that explicitly reserve parameters to compensate for frequency effects. This finding may explain variability across embeddings and evaluation methods.",Paper
Who are the authors of the paper 'Natural Language Processing (Almost) from Scratch'?,"Ronan Collobert, Jason Weston, Leon Bottou, Michael Karlen, Koray Kavukcuoglu, Pavel Kuksa",Paper
What is the main contribution of the 'Natural Language Processing (Almost) from Scratch' paper?,"The paper proposes a unified neural network architecture and learning algorithm that can be applied to various NLP tasks including part-of-speech tagging, chunking, named entity recognition, and semantic role labeling, aiming to avoid task-specific engineering.",Paper
Which NLP tasks does the paper focus on for benchmarking the proposed architecture?,"The paper focuses on part-of-speech tagging (POS), chunking, named entity recognition (NER), and semantic role labeling (SRL) for benchmarking the proposed architecture.",Paper
How does the proposed architecture in the paper deal with different levels of granularity in the text?,The architecture uses a multi-stage hierarchical process that represents the context at different levels of granularity and utilizes a bi-directional attention flow mechanism to obtain a query-aware context representation without early summarization.,Paper
What datasets were used to evaluate the performance of the proposed system in the paper?,"To evaluate the system, datasets from standard benchmarks such as WSJ (Wall Street Journal) sections for POS and SRL, CoNLL 2000 for chunking, and CoNLL 2003 for NER were used.",Paper
Who are the authors of 'Speech and Language Processing'?,Daniel Jurafsky & James H. Martin.,Paper
"What is the goal of predicting the next few words someone is going to say, as discussed in the paper?","Models that assign probabilities to sequences of words are called language models, which are fundamental for tasks where we need to predict word sequences in noisy, ambiguous inputs like speech recognition, spelling correction, and machine translation.",Paper
How is the probability of a word given some history calculated in n-gram models?,One way to estimate this probability is from relative frequency counts: count the number of times a history appears and count the number of times this is followed by the word.,Paper
What are the two major categories of evaluation schemes for language models as discussed in the paper?,The two major categories are extrinsic and intrinsic evaluation.,Paper
What does the paper mention as a simple example to explain the concept of perplexity in language models?,"Perplexity is explained as the inverse probability of the test set, normalized by the number of words. It is illustrated with the task of recognizing digits in English where each of the 10 digits occurs with equal probability.",Paper
Who are the authors of 'On the difficulty of training Recurrent Neural Networks'?,"Razvan Pascanu, Tomas Mikolov, Yoshua Bengio",Paper
What are the two widely known issues with training Recurrent Neural Networks (RNNs)?,The vanishing and the exploding gradient problems.,Paper
What strategies does the paper propose to address these training issues?,A gradient norm clipping strategy to deal with exploding gradients and a soft constraint for the vanishing gradients problem.,Paper
What is the purpose of the gradient norm clipping strategy proposed in the paper?,To deal with exploding gradients by clipping the gradient norm to prevent excessively large updates.,Paper
How does the paper suggest addressing the vanishing gradients problem?,Through a soft constraint aimed at preventing the gradients from vanishing too quickly.,Paper
Who are the authors of 'Reading Wikipedia to Answer Open-Domain Questions'?,"Danqi Chen, Adam Fisch, Jason Weston, Antoine Bordes",Paper
What does the paper propose for answering open-domain questions?,This paper proposes using Wikipedia as the unique knowledge source: the answer to any factoid question is a text span in a Wikipedia article.,Paper
What are the two components of the proposed system in the paper?,"(1) Document Retriever, a module using bigram hashing and TF-IDF matching designed to, given a question, efficiently return a subset of relevant articles and (2) Document Reader, a multi-layer recurrent neural network machine comprehension model trained to detect answer spans in those few returned documents.",Paper
